,X,Y,XYIndex,Category,Description
0,-122.51364206429,37.7078790224135,0.0,,
1,-122.51364206429,37.708999987112335,1.0,,
2,-122.51364206429,37.71012095181117,2.0,,
3,-122.51364206429,37.711241916510005,3.0,,
4,-122.51364206429,37.71236288120884,4.0,,
5,-122.51364206429,37.713483845907675,5.0,,
6,-122.51364206429,37.71460481060651,6.0,,
7,-122.51364206429,37.715725775305344,7.0,,
8,-122.51364206429,37.71684674000418,8.0,,
9,-122.51364206429,37.717967704703014,9.0,,
10,-122.51364206429,37.71908866940185,10.0,,
11,-122.51364206429,37.720209634100684,11.0,,
12,-122.51364206429,37.72133059879952,12.0,,
13,-122.51364206429,37.72245156349835,13.0,,
14,-122.51364206429,37.72357252819719,14.0,,
15,-122.51364206429,37.72469349289602,15.0,,
16,-122.51364206429,37.72581445759486,16.0,,
17,-122.51364206429,37.7269354222937,17.0,,
18,-122.51364206429,37.728056386992534,18.0,,
19,-122.51364206429,37.72917735169137,19.0,,
20,-122.51364206429,37.730298316390204,20.0,,
21,-122.51364206429,37.73141928108904,21.0,,
22,-122.51364206429,37.732540245787874,22.0,,
23,-122.51364206429,37.73366121048671,23.0,,
24,-122.51364206429,37.73478217518554,24.0,,
25,-122.51364206429,37.73590313988438,25.0,,
26,-122.51364206429,37.73702410458321,26.0,,
27,-122.51364206429,37.73814506928205,27.0,LARCENY/THEFT,LARCENY/THEFT
28,-122.51364206429,37.73926603398088,28.0,LARCENY/THEFT,LARCENY/THEFT
29,-122.51364206429,37.74038699867972,29.0,LARCENY/THEFT,LARCENY/THEFT
30,-122.51364206429,37.74150796337855,30.0,LARCENY/THEFT,LARCENY/THEFT
31,-122.51364206429,37.74262892807739,31.0,LARCENY/THEFT,LARCENY/THEFT
32,-122.51364206429,37.74374989277622,32.0,WARRANTS,WARRANTS
33,-122.51364206429,37.74487085747506,33.0,,
34,-122.51364206429,37.74599182217389,34.0,,
35,-122.51364206429,37.74711278687273,35.0,,
36,-122.51364206429,37.74823375157156,36.0,,
37,-122.51364206429,37.749354716270396,37.0,,
38,-122.51364206429,37.75047568096923,38.0,,
39,-122.51364206429,37.751596645668066,39.0,,
40,-122.51364206429,37.7527176103669,40.0,,
41,-122.51364206429,37.753838575065735,41.0,,
42,-122.51364206429,37.75495953976457,42.0,,
43,-122.51364206429,37.756080504463405,43.0,,
44,-122.51364206429,37.75720146916224,44.0,,
45,-122.51364206429,37.758322433861075,45.0,,
46,-122.51364206429,37.760564363258744,46.0,,
47,-122.51364206429,37.76168532795758,47.0,,
48,-122.51364206429,37.762806292656414,48.0,,
49,-122.51215501858789,37.7078790224135,49.0,,
50,-122.51215501858789,37.708999987112335,50.0,,
51,-122.51215501858789,37.71012095181117,51.0,,
52,-122.51215501858789,37.711241916510005,52.0,,
53,-122.51215501858789,37.71236288120884,53.0,,
54,-122.51215501858789,37.713483845907675,54.0,,
55,-122.51215501858789,37.71460481060651,55.0,,
56,-122.51215501858789,37.715725775305344,56.0,,
57,-122.51215501858789,37.71684674000418,57.0,,
58,-122.51215501858789,37.717967704703014,58.0,,
59,-122.51215501858789,37.71908866940185,59.0,,
60,-122.51215501858789,37.720209634100684,60.0,,
61,-122.51215501858789,37.72133059879952,61.0,,
62,-122.51215501858789,37.72245156349835,62.0,,
63,-122.51215501858789,37.72357252819719,63.0,,
64,-122.51215501858789,37.72469349289602,64.0,,
65,-122.51215501858789,37.72581445759486,65.0,,
66,-122.51215501858789,37.7269354222937,66.0,OTHER OFFENSES,OTHER OFFENSES
67,-122.51215501858789,37.728056386992534,67.0,VEHICLE THEFT,VEHICLE THEFT
68,-122.51215501858789,37.72917735169137,68.0,LARCENY/THEFT,LARCENY/THEFT
69,-122.51215501858789,37.730298316390204,69.0,LARCENY/THEFT,LARCENY/THEFT
70,-122.51215501858789,37.73141928108904,70.0,VEHICLE THEFT,VEHICLE THEFT
71,-122.51215501858789,37.732540245787874,71.0,LARCENY/THEFT,LARCENY/THEFT
72,-122.51215501858789,37.73366121048671,72.0,OTHER OFFENSES,OTHER OFFENSES
73,-122.51215501858789,37.73478217518554,73.0,NON-CRIMINAL,NON-CRIMINAL
74,-122.51215501858789,37.73590313988438,74.0,LARCENY/THEFT,LARCENY/THEFT
75,-122.51215501858789,37.73702410458321,75.0,LARCENY/THEFT,LARCENY/THEFT
76,-122.51215501858789,37.73814506928205,76.0,LARCENY/THEFT,LARCENY/THEFT
77,-122.51215501858789,37.73926603398088,77.0,LARCENY/THEFT,LARCENY/THEFT
78,-122.51215501858789,37.74038699867972,78.0,NON-CRIMINAL,NON-CRIMINAL
79,-122.51215501858789,37.74150796337855,79.0,LARCENY/THEFT,LARCENY/THEFT
80,-122.51215501858789,37.74262892807739,80.0,NON-CRIMINAL,NON-CRIMINAL
81,-122.51215501858789,37.74374989277622,81.0,LARCENY/THEFT,LARCENY/THEFT
82,-122.51215501858789,37.74487085747506,82.0,LARCENY/THEFT,LARCENY/THEFT
83,-122.51215501858789,37.74599182217389,83.0,,
84,-122.51215501858789,37.74711278687273,84.0,,
85,-122.51215501858789,37.74823375157156,85.0,,
86,-122.51215501858789,37.749354716270396,86.0,,
87,-122.51215501858789,37.75047568096923,87.0,,
88,-122.51215501858789,37.751596645668066,88.0,,
89,-122.51215501858789,37.7527176103669,89.0,,
90,-122.51215501858789,37.753838575065735,90.0,,
91,-122.51215501858789,37.75495953976457,91.0,,
92,-122.51215501858789,37.756080504463405,92.0,,
93,-122.51215501858789,37.75720146916224,93.0,,
94,-122.51215501858789,37.758322433861075,94.0,,
95,-122.51215501858789,37.760564363258744,95.0,,
96,-122.51215501858789,37.76168532795758,96.0,,
97,-122.51215501858789,37.762806292656414,97.0,,
98,-122.5106679728858,37.7078790224135,98.0,,
99,-122.5106679728858,37.708999987112335,99.0,,
100,-122.5106679728858,37.71012095181117,100.0,,
101,-122.5106679728858,37.711241916510005,101.0,,
102,-122.5106679728858,37.71236288120884,102.0,,
103,-122.5106679728858,37.713483845907675,103.0,,
104,-122.5106679728858,37.71460481060651,104.0,,
105,-122.5106679728858,37.715725775305344,105.0,,
106,-122.5106679728858,37.71684674000418,106.0,,
107,-122.5106679728858,37.717967704703014,107.0,LARCENY/THEFT,LARCENY/THEFT
108,-122.5106679728858,37.71908866940185,108.0,,
109,-122.5106679728858,37.720209634100684,109.0,,
110,-122.5106679728858,37.72133059879952,110.0,LARCENY/THEFT,LARCENY/THEFT
111,-122.5106679728858,37.72245156349835,111.0,NON-CRIMINAL,NON-CRIMINAL
112,-122.5106679728858,37.72357252819719,112.0,VEHICLE THEFT,VEHICLE THEFT
113,-122.5106679728858,37.72469349289602,113.0,VEHICLE THEFT,VEHICLE THEFT
114,-122.5106679728858,37.72581445759486,114.0,MISSING PERSON,MISSING PERSON
115,-122.5106679728858,37.7269354222937,115.0,LARCENY/THEFT,LARCENY/THEFT
116,-122.5106679728858,37.728056386992534,116.0,OTHER OFFENSES,OTHER OFFENSES
117,-122.5106679728858,37.72917735169137,117.0,VEHICLE THEFT,VEHICLE THEFT
118,-122.5106679728858,37.730298316390204,118.0,LARCENY/THEFT,LARCENY/THEFT
119,-122.5106679728858,37.73141928108904,119.0,VEHICLE THEFT,VEHICLE THEFT
120,-122.5106679728858,37.732540245787874,120.0,NON-CRIMINAL,NON-CRIMINAL
121,-122.5106679728858,37.73366121048671,121.0,ASSAULT,ASSAULT
122,-122.5106679728858,37.73478217518554,122.0,OTHER OFFENSES,OTHER OFFENSES
123,-122.5106679728858,37.73590313988438,123.0,OTHER OFFENSES,OTHER OFFENSES
124,-122.5106679728858,37.73702410458321,124.0,,
125,-122.5106679728858,37.73814506928205,125.0,,
126,-122.5106679728858,37.73926603398088,126.0,LARCENY/THEFT,LARCENY/THEFT
127,-122.5106679728858,37.74038699867972,127.0,OTHER OFFENSES,OTHER OFFENSES
128,-122.5106679728858,37.74150796337855,128.0,VEHICLE THEFT,VEHICLE THEFT
129,-122.5106679728858,37.74262892807739,129.0,LARCENY/THEFT,LARCENY/THEFT
130,-122.5106679728858,37.74374989277622,130.0,LARCENY/THEFT,LARCENY/THEFT
131,-122.5106679728858,37.74487085747506,131.0,,
132,-122.5106679728858,37.74599182217389,132.0,,
133,-122.5106679728858,37.74711278687273,133.0,,
134,-122.5106679728858,37.74823375157156,134.0,,
135,-122.5106679728858,37.749354716270396,135.0,,
136,-122.5106679728858,37.75047568096923,136.0,,
137,-122.5106679728858,37.751596645668066,137.0,,
138,-122.5106679728858,37.7527176103669,138.0,,
139,-122.5106679728858,37.753838575065735,139.0,,
140,-122.5106679728858,37.75495953976457,140.0,,
141,-122.5106679728858,37.756080504463405,141.0,,
142,-122.5106679728858,37.75720146916224,142.0,,
143,-122.5106679728858,37.758322433861075,143.0,,
144,-122.5106679728858,37.760564363258744,144.0,,
145,-122.5106679728858,37.76168532795758,145.0,,
146,-122.5106679728858,37.762806292656414,146.0,,
147,-122.50918092718369,37.7078790224135,147.0,,
148,-122.50918092718369,37.708999987112335,148.0,,
149,-122.50918092718369,37.71012095181117,149.0,,
150,-122.50918092718369,37.711241916510005,150.0,,
151,-122.50918092718369,37.71236288120884,151.0,,
152,-122.50918092718369,37.713483845907675,152.0,,
153,-122.50918092718369,37.71460481060651,153.0,,
154,-122.50918092718369,37.715725775305344,154.0,NON-CRIMINAL,NON-CRIMINAL
155,-122.50918092718369,37.71684674000418,155.0,LARCENY/THEFT,LARCENY/THEFT
156,-122.50918092718369,37.717967704703014,156.0,LARCENY/THEFT,LARCENY/THEFT
157,-122.50918092718369,37.71908866940185,157.0,,
158,-122.50918092718369,37.720209634100684,158.0,,
159,-122.50918092718369,37.72133059879952,159.0,LARCENY/THEFT,LARCENY/THEFT
160,-122.50918092718369,37.72245156349835,160.0,ASSAULT,ASSAULT
